# With the van, de and other prefixes removed
A		2.53112154780466
B		12.7083310618533
C		1.63259673779125
D		4.97067746437411
E		2.31966265795872
F		1.32731663704657
G		4.43396534993513
H		8.79137728011165
I		0.392457232574114
J		2.94908522956486
K		8.21403065952877
L		4.74382475440758
M		5.4430885223023
N		2.01567730082755
O		2.1558094464494
P		3.82052264029569
Q		0.0842809947992193
R		4.57960356313442
S		9.43177110023224
T		2.73210664326134
U		0.298029536509044
V		7.13088903910943
W		5.48188994406708
X		0.00643964586717839
Y		0.157590741083987
Z		1.64785426911042
