At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1 # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best	sans-F		qualifying
HY	F	VD		F VD
HZ	VD	VD		VD
IA	FM	VM		FM VM
IB	VM	VM		VM VF FD
IC	VM	VM		VM FM
ID	VM	VM		VM FD
IE	VM	VM		VM FM
IF	VM	VM		VM FM
IG	FM	VM		FM VM
IH	FD	VM		FD VF VM
II	VM	VM		VM
IJ	FM	VM		FM VM
IK	FD	VM		FD VM VF
IL	VM	VM		VM FM FD
IM	VM	VM		VM FD VF
IN	VM	VM		VM FM
IO	VM	VM		VM FM
IP	VM	VM		VM FM FD
IQ	VM	VM		VM F
IR	VM	VM		VM FM FD
IS	VF	VM		VF VM FD
IT	VM	VM		VM FM
IU	VM	VM		VM F
IV	VM	VM		VM VF
IW	VM	VM		VM FD FM
IX	VM	VM		VM
IY	F	VM		F VM
IZ	VM	VM		VM
JA	FM			FM VF
JB	VFM			VFM FD
JC	VF			VF FM
JD	FD			FD
JE	FM			FM
JF	VF			VF FM
JG	FM			FM
JH	FD			FD VFM
JI	VF*			
JJ	FM			FM
JK	FD			FD
JL	FM			FM FD
JM	FD			FD
JN	FM			FM VF
JO	FM			FM VF
JP	FM			FM FD
JQ	F			F
JR	FM			FM FD
JS	FD			FD VFM
JT	FM			FM
JU	F			F
JV	VFM*			
JW	FD			FD FM
JX	VMD*			
JY	F			F
JZ	VF			VF
KA	FM	VM		FM VM
KB	VM	VM		VM VF FD
KC	VM	VM		VM FM
KD	VM	VM		VM FD VF
KE	VM	VM		VM FM
KF	VM	VM		VM FM
KG	VM	VM		VM FM
KH	VF	VM		VF FD VM
KI	VM	VM		VM
KJ	VM	VM		VM FM
KK	VF	VM		VF VM FD
KL	VM	VM		VM FM VF FD
KM	VM	VM		VM FD VF
KN	VM	VM		VM FM
KO	VM	VM		VM FM
KP	VM	VM		VM FM FD
KQ	VM	VM		VM F
KR	VM	VM		VM FM FD VF
KS	VF	VM		VF VM FD
KT	VM	VM		VM FM
KU	VM	VM		VM F
KV	VM	VM		VM VF
KW	VM	VM		VM VF FD FM
