At least 1000 for a fifty fifty change that you share the data shown:

RISK_PRIVACY= 0.1; # Percent

At least 333 people in your vicintiy for a fifty fifty chance that you can 
borrow a phone (not quite true - as we in an 'F' there are a lot of people who
have the same 'F' -- so perhaps we should; given more options; go light on 
the 'F' and pick 'V' instead if roughly equal).

RISK_FRAUD  = 0.3; # Percent - 

Note:  this does not yet reflect the 'V' issue of the 'Van somethings'.

Pair	best		qualifying
IZ	VM		VM           
JA	FM		FM VF          
JB	VFM		VFM FD          
JC	VF		VF FM          
JD	FD		FD           
JE	FM		FM           
JF	VF		VF FM          
JG	FM		FM           
JH	FD		FD VFM          
JI	VF*		           
JJ	FM		FM           
JK	FD		FD           
JL	FM		FM FD          
JM	FD		FD           
JN	FM		FM VF          
JO	FM		FM VF          
JP	FM		FM FD          
JQ	F		F           
JR	FM		FM FD          
JS	FD		FD VFM          
JT	FM		FM           
JU	F		F           
JV	VFM*		           
JW	FD		FD FM          
JX	VMD*		           
JY	F		F           
JZ	VF		VF           
KA	FM		FM VM          
KB	VM		VM VF FD         
KC	VM		VM FM          
KD	VM		VM FD VF         
KE	VM		VM FM          
KF	VM		VM FM          
KG	VM		VM FM          
KH	VF		VF FD VM         
KI	VM		VM           
KJ	FM		FM VM          
KK	VF		VF VM FD         
KL	VM		VM FM VF FD        
KM	VM		VM FD VF         
KN	VM		VM FM          
KO	VM		VM FM          
KP	VM		VM FM FD         
KQ	VM		VM F          
KR	VM		VM FM FD VF        
KS	VF		VF VM FD         
KT	VM		VM FM          
KU	VM		VM F          
KV	VM		VM VF          
KW	VM		VM VF FD FM        
KX	VM		VM           
KY	F		F VM          
KZ	VM		VM           
LA	FM		FM VD VF         
LB	VD		VD FD          
LC	VD		VD FM          
LD	VF		VF VD FD         
LE	FM		FM VD VF         
LF	VD		VD FM          
LG	VF		VF FM VD         
LH	FD		FD VD          
LI	VD		VD           
LJ	FM		FM VF VD         
LK	FD		FD VD          
LL	VF		VF VD FM FD        
LM	FD		FD VD VF         
LN	VD		VD FM          
LO	VD		VD FM VF         
LP	VF		VF VD FM FD        
LQ	VD		VD F          
LR	VF		VF VD FM FD        
LS	VD		VD FD          
LT	FM		FM VD VF         
LU	VD		VD F          
LV	VD		VD           
LW	VD		VD VF FD FM        
LX	VD		VD           
LY	F		F VD          
LZ	VD		VD           
MA	FM		FM           
MB	VFM		VFM FD          
MC	VF		VF FM          
MD	FD		FD           
ME	FM		FM VF          
MF	VF		VF FM          
MG	FM		FM           
MH	FD		FD           
MI	VF*		           
MJ	FM		FM           
MK	FD		FD           
ML	FM		FM FD          
MM	FD		FD           
MN	VF		VF FM          
MO	VF		VF FM          
MP	FM		FM FD          
MQ	F		F           
MR	FM		FM FD          
MS	FD		FD           
MT	FM		FM           
MU	F		F           
MV	VFM*		           
MW	FD		FD FM          
MX	VMD*		           
MY	F		F           
MZ	VF		VF           
NA	FM		FM VM          
NB	VM		VM FD          
NC	VM		VM FM          
ND	VM		VM VF FD         
NE	VM		VM FM          
NF	VM		VM FM          
NG	VM		VM FM VF         
NH	FD		FD VM VF         
NI	VM		VM           
NJ	VM		VM FM          
NK	VM		VM FD VF         
NL	VM		VM FM VF FD        
NM	VM		VM VF FD         
NN	VM		VM FM          
NO	VM		VM FM          
NP	VM		VM FM FD VF        
NQ	VM		VM F          
NR	VM		VM VF FM FD        
NS	VM		VM VF FD         
NT	VM		VM FM          
NU	VM		VM F          
NV	VF		VF VM          
NW	VM		VM VF FD FM        
NX	VM		VM           
NY	F		F VM          
NZ	VM		VM           
OA	FM		FM           
OB	FD		FD           
OC	FM		FM           
OD	FD		FD           
OE	FM		FM           
OF	FM		FM           
OG	FM		FM           
OH	FD		FD           
OI	VM*		           
OJ	FM		FM           
OK	FD		FD           
OL	FM		FM FD          
OM	FD		FD           
ON	FM		FM           
OO	FM		FM           
OP	FM		FM FD          
OQ	F		F           
OR	FM		FM FD          
OS	FD		FD           
OT	FM		FM           
