A	A	0.261650174781223%
A	B	1.21253169353227%
A	C	0.13902054303564%
A	D	0.465781058582326%
A	E	0.21118228549744%
A	F	0.118787337351865%
A	G	0.411643562293306%
A	H	0.817350995607552%
A	I	0.0378617099246176%
A	J	0.282789989254527%
A	K	0.772200438827435%
A	L	0.430128308168704%
A	M	0.514493292749878%
A	N	0.185854801853454%
A	O	0.206836319553983%
A	P	0.34451853532889%
A	Q	0.00815228379790798%
A	R	0.422256641377078%
A	S	0.870164555251546%
A	T	0.250878798924676%
A	U	0.0276443727727824%
A	V	0.691836045412754%
A	W	0.488597379785473%
A	X	0.000438913779057711%
A	Y	0.0185998708010522%
A	Z	0.157728343454493%
B	A	0.0845160860460963%
B	B	0.416219778088071%
B	C	0.0481581954628403%
B	D	0.156339649038786%
B	E	0.0749031547539471%
B	F	0.0402001849769743%
B	G	0.140999252695326%
B	H	0.267492764758188%
B	I	0.0126781324376998%
B	J	0.0969999451717542%
B	K	0.264995992933056%
B	L	0.149309833266009%
B	M	0.165923799099522%
B	N	0.0636137167319545%
B	O	0.0707586574303858%
B	P	0.116384104528827%
B	Q	0.00228091258952942%
B	R	0.144150797535118%
B	S	0.299770915788563%
B	T	0.0859911241560444%
B	U	0.0103180714617829%
B	V	0.225169963964459%
B	W	0.178105455295336%
B	X	0.000143906157068102%
B	Y	0.00787886209947859%
B	Z	0.0512881543790716%
C	A	0.112815231833539%
C	B	0.636403393710121%
C	C	0.0877467792722752%
C	D	0.247899941473366%
C	E	0.11098042833092%
C	F	0.0618148897686032%
C	G	0.228522977424146%
C	H	0.424645483584409%
C	I	0.0185423083382249%
C	J	0.15043230129114%
C	K	0.398785547159271%
C	L	0.239172033047186%
C	M	0.273997323057666%
C	N	0.0996118419225402%
C	O	0.107188501092176%
C	P	0.185933950239841%
C	Q	0.00453304394764521%
C	R	0.232761013749802%
C	S	0.46553641811531%
C	T	0.131875602337209%
C	U	0.0143258579361296%
C	V	0.371198736849316%
C	W	0.259980863359233%
C	X	0.000424523163350901%
C	Y	0.0057778322062843%
C	Z	0.0812925881277708%
D	A	0.0970790935581416%
D	B	0.501340269993854%
D	C	0.0635561542691273%
D	D	0.204814438047176%
D	E	0.0897902467026422%
D	F	0.0520796382429461%
D	G	0.175076230689053%
D	H	0.337913242719464%
D	I	0.0166211611413658%
D	J	0.119881024145582%
D	K	0.321299276885951%
D	L	0.183070217714186%
D	M	0.216175829147703%
D	N	0.0782561682136339%
D	O	0.0839548520335307%
D	P	0.151785019167581%
D	Q	0.00336020876754018%
D	R	0.181717499837746%
D	S	0.370673479376017%
D	T	0.106749587313118%
D	U	0.0122464139664955%
D	V	0.280372365815783%
D	W	0.210340434478591%
D	X	0.000359765392670255%
D	Y	0.00686432369214847%
D	Z	0.066038535478552%
E	A	0.115383956737204%
E	B	0.597822153000163%
E	C	0.07218332838536%
E	D	0.23394104423776%
E	E	0.108023156803171%
E	F	0.0623545378576086%
E	G	0.206109593460789%
E	H	0.401296709600109%
E	I	0.018686214495293%
E	J	0.140286917217839%
E	K	0.38805014784199%
E	L	0.214600056727807%
E	M	0.251296126780173%
E	N	0.092841057232486%
E	O	0.0952298994398165%
E	P	0.177342752662875%
E	Q	0.00334581815183337%
E	R	0.210944840338277%
E	S	0.438215834195931%
E	T	0.127083527306841%
E	U	0.0153332010356063%
E	V	0.333811917243023%
E	W	0.25395119537808%
E	X	0.000194273312041938%
E	Y	0.0132537570659722%
E	Z	0.0752341389152037%
F	A	0.0805370808031633%
F	B	0.375148960860835%
F	C	0.0481653907706937%
F	D	0.148136998085904%
F	E	0.06850652607227%
F	F	0.0403944582890162%
F	G	0.130062384758151%
F	H	0.263736814058711%
F	I	0.0123831248157102%
F	J	0.0916826126680878%
F	K	0.232300514047184%
F	L	0.140186182907892%
F	M	0.159685467190619%
F	N	0.0570803772010627%
F	O	0.0619084287706975%
F	P	0.11057749109113%
F	Q	0.00223054543455558%
F	R	0.13004079883459%
F	S	0.278271335922589%
F	T	0.0830770244754153%
F	U	0.00820265095288181%
F	V	0.204555406964454%
F	W	0.159296920566536%
F	X	0.000187078004188533%
F	Y	0.00630308967958287%
F	Z	0.047956726842945%
G	A	0.0895743874670401%
G	B	0.52666775363784%
G	C	0.0558283936345702%
G	D	0.201468619895343%
G	E	0.097014335787461%
G	F	0.0505182564387572%
G	G	0.175709417780153%
G	H	0.367226926914236%
G	I	0.0135199834565482%
G	J	0.123284404760243%
G	K	0.33720810254983%
G	L	0.189603557245078%
G	M	0.211614003968644%
G	N	0.0837533834136354%
G	O	0.0867034596335315%
G	P	0.157706757530933%
G	Q	0.00248957651727816%
G	R	0.177911181983295%
G	S	0.368687574408477%
G	T	0.111786302810502%
G	U	0.0113613911005267%
G	V	0.29581349646919%
G	W	0.233271880607393%
G	X	0.000273421698429394%
G	Y	0.00379192723874449%
G	Z	0.0631532170293366%
H	A	0.127536831701605%
H	B	0.657550403491278%
H	C	0.0712623289801241%
H	D	0.252893485123629%
H	E	0.121571921491133%
H	F	0.0644915442900699%
H	G	0.215816063755033%
H	H	0.468234658560337%
H	I	0.0187509722659737%
H	J	0.155001321778053%
H	K	0.427984106428389%
H	L	0.234948387337237%
H	M	0.270133442740388%
H	N	0.108059133342438%
H	O	0.109361484063904%
H	P	0.19417257773199%
H	Q	0.00330984161256635%
H	R	0.218521499507913%
H	S	0.477120863759292%
H	T	0.139704097281713%
H	U	0.0155850368104754%
H	V	0.361837641332036%
H	W	0.292316576852436%
H	X	0.00035257008481685%
H	Y	0.00859119757696569%
H	Z	0.0812710022042106%
I	A	0.0636065214241011%
I	B	0.242769686973888%
I	C	0.0323357134932025%
I	D	0.0921215264471455%
I	E	0.044085651217813%
I	F	0.0251979681026247%
I	G	0.0817962596775092%
I	H	0.16275066833617%
I	I	0.00926036120733236%
I	J	0.0575049003644136%
I	K	0.153950806831456%
I	L	0.0880777634335318%
I	M	0.106425798459715%
I	N	0.0376026788418951%
I	O	0.041509731006294%
I	P	0.0681611512953065%
I	Q	0.00171967857696382%
I	R	0.0837174068743683%
I	S	0.172385185551879%
I	T	0.0527272159497526%
I	U	0.00559794950994917%
I	V	0.127371339620977%
I	W	0.0979353351926968%
I	X	0.000129515541361292%
I	Y	0.00523818411727891%
I	Z	0.0306951833026262%
J	A	0.29008603141788%
J	B	1.74976935440676%
J	C	0.201051292039845%
J	D	0.674797556415891%
J	E	0.307218059416838%
J	F	0.175169769691147%
J	G	0.595735513722675%
J	H	1.20224959860975%
J	I	0.046553641811531%
J	J	0.421529915283884%
J	K	1.10551587982857%
J	L	0.646239379545726%
J	M	0.729697755337371%
J	N	0.275501142399028%
J	O	0.290028468955053%
J	P	0.526156886780248%
J	Q	0.0112102896356051%
J	R	0.615724078939435%
J	S	1.27799460438255%
J	T	0.359571119358213%
J	U	0.0371997416021044%
J	V	1.01657467945263%
J	W	0.756795284713295%
J	X	0.000575624628272408%
J	Y	0.00589295713193878%
J	Z	0.224464823794826%
K	A	0.0609298669026344%
K	B	0.288575016768665%
K	C	0.0364442342774968%
K	D	0.112815231833539%
K	E	0.0518565836994906%
K	F	0.0309973862324692%
K	G	0.0980216788869377%
K	H	0.198871113760264%
K	I	0.00907328320314383%
K	J	0.0697800955623227%
K	K	0.19178373552466%
K	L	0.106936665317307%
K	M	0.123665756076473%
K	N	0.0454671503256668%
K	O	0.0498347021926837%
K	P	0.0852787886785572%
K	Q	0.00161174895916274%
K	R	0.101194809650289%
K	S	0.214967017428331%
K	T	0.0638799431225305%
K	U	0.00702981577277678%
K	V	0.16074317744507%
K	W	0.124370896246107%
K	X	0.000187078004188533%
K	Y	0.00610162105968752%
K	Z	0.037868905232471%
L	A	0.112527419519402%
L	B	0.596562974125817%
L	C	0.0787958163026393%
L	D	0.232027092348754%
L	E	0.108123891113118%
L	F	0.0629013812544674%
L	G	0.210225309552937%
L	H	0.421616258978125%
L	I	0.016980926534036%
L	J	0.144093235072291%
L	K	0.382754401261884%
L	L	0.214103580485922%
L	M	0.259822566586458%
L	N	0.0975180073371993%
L	O	0.102324472983274%
L	P	0.183242905102668%
L	Q	0.00407254424502729%
L	R	0.215420321823095%
L	S	0.440266496934151%
L	T	0.128162823484852%
L	U	0.0132105852188518%
L	V	0.346878596304806%
L	W	0.25934048096028%
L	X	0.000438913779057711%
L	Y	0.00419486447853517%
L	Z	0.0781986057508066%
M	A	0.313175774319457%
M	B	1.54210557444963%
M	C	0.201072877963406%
M	D	0.601714814548855%
M	E	0.279861498958191%
M	F	0.155612922945592%
M	G	0.543274524163499%
M	H	1.0564510755762%
M	I	0.0461866811110073%
M	J	0.374062469374971%
M	K	0.985195941903933%
M	L	0.576869416531047%
M	M	0.667904451492328%
M	N	0.237473940393782%
M	O	0.257455310302688%
M	P	0.46086666331845%
M	Q	0.0104907588502646%
M	R	0.554261759255648%
M	S	1.13165643325999%
M	T	0.325019251046162%
M	U	0.036732046591633%
M	V	0.878690995057831%
M	W	0.649153479226355%
M	X	0.000518062165445167%
M	Y	0.0206721194628329%
M	Z	0.196647763633561%
N	A	0.0887469270638985%
N	B	0.352512522354023%
N	C	0.0455606893277611%
N	D	0.133875897920455%
N	E	0.0652902234617979%
N	F	0.037494749224094%
N	G	0.119895414761289%
N	H	0.236171589672316%
N	I	0.0124550778942442%
N	J	0.0808680649644199%
N	K	0.223464676003202%
N	L	0.131451079173858%
N	M	0.15406593175711%
N	N	0.0560658387937325%
N	O	0.0607212029748856%
N	P	0.100993341030394%
N	Q	0.00256872490366562%
N	R	0.124450044632495%
N	S	0.25669980297808%
N	T	0.0772128485748901%
N	U	0.00856961165340548%
N	V	0.193553781256597%
N	W	0.141646830402133%
N	X	0.000251835774869179%
N	Y	0.00738238585759363%
N	Z	0.0468054775864002%
O	A	0.0208448068513146%
O	B	0.0535474810450408%
O	C	0.00896535358534276%
O	D	0.0204634555350841%
O	E	0.0106490556230395%
O	F	0.00661968322513269%
O	G	0.0175277699308948%
O	H	0.0353217662523656%
O	I	0.0029644668356029%
O	J	0.0115556644125686%
O	K	0.0356671410293291%
O	L	0.0189956127329895%
O	M	0.0255361475717347%
O	N	0.00834655710994992%
O	O	0.0104547823109976%
O	P	0.0160887083602138%
O	Q	0.000388546624083875%
O	R	0.0178659494000049%
O	S	0.0403656770576026%
O	T	0.0133832726073335%
O	U	0.00168370203769679%
O	V	0.026572271902625%
O	W	0.0207728537727805%
O	X	0.0000215859235602153%
O	Y	0.00314434953193803%
O	Z	0.00780690902094453%
P	A	0.0833504461738447%
P	B	0.500642325132074%
P	C	0.0685712838429506%
P	D	0.200166269173876%
P	E	0.0853219605256777%
P	F	0.0502448347403278%
P	G	0.180256852343505%
P	H	0.34654761214355%
P	I	0.0134552256858675%
P	J	0.127227433463909%
P	K	0.317291490411605%
P	L	0.191265673359214%
P	M	0.211887425667073%
P	N	0.0764357553267224%
P	O	0.0812710022042106%
P	P	0.146726717746637%
P	Q	0.00373436477591725%
P	R	0.184307810664972%
P	S	0.380120918587538%
P	T	0.103115956847148%
P	U	0.0100014779162331%
P	V	0.305620701073382%
P	W	0.212405487832519%
P	X	0.000223054543455558%
P	Y	0.0015469911884821%
P	Z	0.0652542469225309%
Q	A	0.00386388031727854%
Q	B	0.0185423083382249%
Q	C	0.00305800583769717%
Q	D	0.00816667441361479%
Q	E	0.00348972430890147%
Q	F	0.00237445159162368%
Q	G	0.00659090199371907%
Q	H	0.0133976632230403%
Q	I	0.00074831201675413%
Q	J	0.00441791902199073%
Q	K	0.011901039189532%
Q	L	0.00813789318220117%
Q	M	0.00845448672775099%
Q	N	0.00328106038115273%
Q	O	0.00351131023246169%
Q	P	0.00595771490261942%
Q	Q	0.000287812314136204%
Q	R	0.00738238585759363%
Q	S	0.0145489124795851%
Q	T	0.00454023925549862%
Q	U	0.000431718471204306%
Q	V	0.0107497899329872%
Q	W	0.00801557294869328%
Q	X	0.0000287812314136204%
Q	Y	0.000172687388481722%
Q	Z	0.00279177944712118%
R	A	0.144956672014699%
R	B	0.745160471914339%
R	C	0.0944168296523817%
R	D	0.284926995686989%
R	E	0.132249758345586%
R	F	0.0787454491476654%
R	G	0.255562944337242%
R	H	0.510499896891238%
R	I	0.0227659540481737%
R	J	0.185228810070208%
R	K	0.477185621529973%
R	L	0.273220229809498%
R	M	0.324393259262916%
R	N	0.11565018312778%
R	O	0.123075740832494%
R	P	0.225903885365507%
R	Q	0.00483524687748823%
R	R	0.263103626967611%
R	S	0.567501125705914%
R	T	0.158138476002137%
R	U	0.0168082391455543%
R	V	0.419990119403256%
R	W	0.319989730856632%
R	X	0.000280617006282799%
R	Y	0.00710896415916424%
R	Z	0.0986404753623305%
S	A	0.173378138035649%
S	B	0.695081129254639%
